race_cat,race,age_bin,age_cat,date,date_start,age,pop,all_covid,all_pop,covid_prop,pop_prop,week_from_start,lm_mean,lm_se,lm_lower,lm_upper
Asian,asian,65+,65 and over,2021-01-19,2021-01-13,65,1006046,3493,6065760,0.14657887202977382,0.16585654559362717,46,0.14807543080518826,0.0026083765454931753,0.14296301277602164,0.15318784883435488
Asian,asian,65+,65 and over,2021-01-26,2021-01-20,65,1006952,2883,6068864,0.14325355532431494,0.16592100267859025,47,0.14836684895261307,0.002716146924660205,0.14304320098027906,0.15369049692494707
Asian,asian,65+,65 and over,2021-02-02,2021-01-27,65,1007860,2313,6071968,0.1526156506701254,0.16598572324491828,48,0.1484675755985725,0.002919524562394412,0.14274530745627945,0.15418984374086553
Asian,asian,65+,65 and over,2021-02-09,2021-02-03,65,1008768,1839,6075073,0.14246873300706905,0.16605035034146914,49,0.1483725699473229,0.003206855239239611,0.14208713367841325,0.15465800621623255
Asian,asian,65+,65 and over,2021-02-16,2021-02-10,65,1009675,1366,6078178,0.1383601756954612,0.16611474688632022,50,0.14807801628324918,0.003560639972949104,0.14109916193626892,0.15505687063022944
Asian,asian,65+,65 and over,2021-02-23,2021-02-17,65,1010583,985,6081284,0.13807106598984772,0.16617921478424622,51,0.14758132397086532,0.003962549423299753,0.1398147271011978,0.15534792084053284
Asian,asian,65+,65 and over,2021-03-02,2021-02-24,65,1011491,710,6084386,0.17746478873239438,0.1662437261541263,52,0.14688112745481408,0.00439602746705641,0.1382649136193835,0.15549734129024465
Asian,asian,65+,65 and over,2021-03-09,2021-03-03,65,1012398,473,6087492,0.15010570824524314,0.16630789822803874,53,0.1459772862598674,0.004847048627033887,0.13647707095088096,0.15547750156885382
Asian,asian,65+,65 and over,2021-03-16,2021-03-10,65,1013305,333,6090597,0.12912912912912913,0.16637203216696164,54,0.14487088499092565,0.00530407865530972,0.1344748908265186,0.15526687915533272
Asian,asian,65+,65 and over,2021-03-23,2021-03-17,65,1014213,304,6093702,0.1513157894736842,0.1664362648518093,55,0.14356423333301926,0.005757890446608811,0.132278768057666,0.15484969860837253
Asian,asian,65+,65 and over,2021-03-30,2021-03-24,65,1015120,204,6096807,0.16176470588235295,0.16650026809115,56,0.14206086605130608,0.006201511666460451,0.12990590318504358,0.15421582891756858
Asian,asian,65+,65 and over,2021-04-06,2021-03-31,65,1016029,174,6099911,0.05172413793103448,0.16656456135179676,57,0.1403655429910734,0.0066303957665955066,0.12736996728854622,0.15336111869360058
Asian,asian,65+,65 and over,2021-04-13,2021-04-07,65,1016936,161,6103015,0.11801242236024845,0.16662846150632105,58,0.13848424907773849,0.007042842344566,0.12468027808238913,0.15228822007308784
Asian,asian,65+,65 and over,2021-04-20,2021-04-14,65,1017843,143,6106121,0.11188811188811189,0.16669224209608685,59,0.13642419431684516,0.0074406725628027815,0.1218404760937517,0.15100791253993862
Asian,asian,65+,65 and over,2021-04-27,2021-04-21,65,1018749,136,6109225,0.1323529411764706,0.1667558487369511,60,0.1341938137940688,0.007830148007714378,0.11884672369894862,0.14954090388918898
Asian,asian,65+,65 and over,2021-05-04,2021-04-28,65,1019658,109,6112330,0.10091743119266056,0.16681985429451618,61,0.13180276767521149,0.008223080532833028,0.11568552983085875,0.14792000551956422
Asian,asian,65+,65 and over,2021-05-11,2021-05-05,65,1020566,105,6115435,0.13333333333333333,0.1668836313361192,62,0.12926194120620638,0.008637996452275374,0.11233146815974665,0.1461924142526661
Asian,asian,65+,65 and over,2021-05-18,2021-05-12,65,1021473,93,6118539,0.12903225806451613,0.16694720749512262,63,0.12658344471311267,0.009101084305664389,0.10874531947401048,0.14442156995221486
Asian,asian,65+,65 and over,2021-05-25,2021-05-19,65,1022382,102,6121644,0.13725490196078433,0.16701101860872666,64,0.12378061360212156,0.009646504557601323,0.10487346466922297,0.14268776253502016
